ts_utc,ts_local,cpu_percent_total,mem_percent_total,load1,load5,load15,fail2ban_cpu_percent,fail2ban_rss_mb,ssh_established,ssh_syn_recv,f2b_currently_failed,f2b_total_failed,f2b_currently_banned,f2b_total_banned,f2b_banned_ips_count,f2b_chain_present,f2b_chain_rules
2026-03-25T15:51:05.353611+00:00,2026-03-25T17:51:05.353614,7.7,10.7,0.08642578125,0.04833984375,0.09326171875,53.3,30.86328125,0,0,0,0,0,0,0,0,0
2026-03-25T15:51:11.347875+00:00,2026-03-25T17:51:11.347879,1.4,10.6,0.0791015625,0.04736328125,0.09228515625,0.0,30.86328125,0,0,0,0,0,0,0,0,0
2026-03-25T15:51:17.351839+00:00,2026-03-25T17:51:17.351842,0.6,10.7,0.07275390625,0.04638671875,0.09130859375,0.0,30.86328125,0,0,0,0,0,0,0,0,0
2026-03-25T15:51:23.354438+00:00,2026-03-25T17:51:23.354442,0.5,10.7,0.06689453125,0.04541015625,0.09033203125,0.0,30.86328125,0,0,0,0,0,0,0,0,0
2026-03-25T15:51:29.348528+00:00,2026-03-25T17:51:29.348532,0.3,10.6,0.0615234375,0.04443359375,0.08984375,0.0,30.86328125,0,0,0,0,0,0,0,0,0
2026-03-25T15:51:35.351754+00:00,2026-03-25T17:51:35.351758,0.4,10.6,0.12548828125,0.05908203125,0.09423828125,0.0,30.86328125,0,0,0,0,0,0,0,0,0
2026-03-25T15:51:41.345103+00:00,2026-03-25T17:51:41.345107,0.1,10.6,0.115234375,0.0576171875,0.09326171875,0.0,30.86328125,0,0,0,0,0,0,0,0,0
2026-03-25T15:51:47.353693+00:00,2026-03-25T17:51:47.353697,0.3,10.6,0.10595703125,0.056640625,0.09228515625,0.0,30.86328125,0,0,0,0,0,0,0,0,0
2026-03-25T15:51:53.349269+00:00,2026-03-25T17:51:53.349272,0.3,10.7,0.09716796875,0.0556640625,0.09130859375,0.0,30.86328125,0,0,0,0,0,0,0,0,0
2026-03-25T15:51:59.354242+00:00,2026-03-25T17:51:59.354245,1.4,10.7,0.08935546875,0.0546875,0.09033203125,0.0,30.86328125,0,0,0,0,0,0,0,0,0
2026-03-25T15:52:05.354331+00:00,2026-03-25T17:52:05.354335,0.1,10.6,0.0751953125,0.052734375,0.08935546875,0.0,30.86328125,0,0,0,0,0,0,0,0,0
