ts_utc,ts_local,cpu_percent_total,mem_percent_total,load1,load5,load15,fail2ban_cpu_percent,fail2ban_rss_mb,ssh_established,ssh_syn_recv,f2b_currently_failed,f2b_total_failed,f2b_currently_banned,f2b_total_banned,f2b_banned_ips_count,f2b_chain_present,f2b_chain_rules
2026-03-25T14:40:40.768126+00:00,2026-03-25T16:40:40.768129,6.8,9.7,0.55810546875,0.2578125,0.10009765625,0.0,30.765625,0,0,0,0,0,0,0,0,0
2026-03-25T14:40:46.340644+00:00,2026-03-25T16:40:46.340647,2.5,9.8,0.51318359375,0.25341796875,0.09912109375,0.0,30.7734375,0,0,0,0,0,0,0,0,0
2026-03-25T14:40:52.351416+00:00,2026-03-25T16:40:52.351419,0.3,9.8,0.55224609375,0.26611328125,0.10400390625,0.0,30.7734375,0,0,0,0,0,0,0,0,0
2026-03-25T14:40:58.350263+00:00,2026-03-25T16:40:58.350267,0.3,9.8,0.5078125,0.26123046875,0.10302734375,0.0,30.7734375,0,0,0,0,0,0,0,0,0
2026-03-25T14:41:04.352556+00:00,2026-03-25T16:41:04.352560,0.4,9.8,0.42919921875,0.25244140625,0.10107421875,0.0,30.77734375,0,0,0,0,0,0,0,0,0
2026-03-25T14:41:10.352892+00:00,2026-03-25T16:41:10.352896,1.6,9.8,0.63525390625,0.29833984375,0.11669921875,0.0,30.77734375,0,0,0,0,0,0,0,0,0
2026-03-25T14:41:16.348109+00:00,2026-03-25T16:41:16.348113,2.6,9.8,0.82470703125,0.34326171875,0.13232421875,0.0,30.77734375,0,0,0,0,0,0,0,0,0
2026-03-25T14:41:22.351556+00:00,2026-03-25T16:41:22.351560,2.5,9.8,0.75830078125,0.33740234375,0.13134765625,0.0,30.77734375,0,0,0,0,0,0,0,0,0
2026-03-25T14:41:28.354499+00:00,2026-03-25T16:41:28.354502,6.0,9.8,0.697265625,0.33154296875,0.13037109375,0.0,30.77734375,0,0,0,0,0,0,0,0,0
2026-03-25T14:41:34.342950+00:00,2026-03-25T16:41:34.342954,2.4,9.8,0.64111328125,0.32568359375,0.12939453125,0.0,30.77734375,0,0,0,0,0,0,0,0,0
2026-03-25T14:41:40.352178+00:00,2026-03-25T16:41:40.352181,0.3,9.8,0.62255859375,0.33154296875,0.13330078125,0.0,30.77734375,0,0,0,0,0,0,0,0,0
2026-03-25T14:41:46.355413+00:00,2026-03-25T16:41:46.355417,0.4,9.8,0.572265625,0.32568359375,0.13232421875,0.0,30.77734375,0,0,0,0,0,0,0,0,0
2026-03-25T14:41:52.349077+00:00,2026-03-25T16:41:52.349080,0.4,9.8,0.5263671875,0.31982421875,0.13134765625,0.0,30.77734375,0,0,0,0,0,0,0,0,0
