ts_utc,ts_local,cpu_percent_total,mem_percent_total,load1,load5,load15,fail2ban_cpu_percent,fail2ban_rss_mb,ssh_established,ssh_syn_recv,f2b_currently_failed,f2b_total_failed,f2b_currently_banned,f2b_total_banned,f2b_banned_ips_count,f2b_chain_present,f2b_chain_rules
2026-03-24T12:06:11.352032+00:00,2026-03-24T14:06:11.352036,1.6,9.0,0.37548828125,0.22314453125,0.16259765625,0.0,30.73046875,0,0,0,0,0,0,0,0,0
2026-03-24T12:06:17.356930+00:00,2026-03-24T14:06:17.356935,6.7,9.0,0.34521484375,0.21923828125,0.16162109375,0.0,30.73828125,0,0,0,0,0,0,0,0,0
2026-03-24T12:06:23.347037+00:00,2026-03-24T14:06:23.347040,2.3,9.0,0.3173828125,0.21533203125,0.16064453125,0.0,30.73828125,0,0,0,0,0,0,0,0,0
2026-03-24T12:06:29.342755+00:00,2026-03-24T14:06:29.342759,37.9,9.0,0.29150390625,0.21142578125,0.15966796875,0.0,30.73828125,0,0,0,0,0,0,0,0,0
2026-03-24T12:06:35.350180+00:00,2026-03-24T14:06:35.350183,15.8,9.0,0.3203125,0.220703125,0.16357421875,0.0,30.73828125,0,0,0,0,0,0,0,0,0
2026-03-24T12:06:41.347267+00:00,2026-03-24T14:06:41.347271,14.6,9.0,0.29443359375,0.216796875,0.16259765625,0.0,30.73828125,0,0,0,0,0,0,0,0,0
2026-03-24T12:06:47.348726+00:00,2026-03-24T14:06:47.348729,2.7,9.1,0.2705078125,0.212890625,0.16162109375,0.0,30.73828125,0,0,0,0,0,0,0,0,0
2026-03-24T12:06:53.354518+00:00,2026-03-24T14:06:53.354521,0.4,9.0,0.3291015625,0.22607421875,0.16650390625,0.0,30.73828125,0,0,0,0,0,0,0,0,0
2026-03-24T12:06:59.354829+00:00,2026-03-24T14:06:59.354835,3.8,9.0,0.302734375,0.22216796875,0.16552734375,0.0,30.73828125,0,0,0,0,0,0,0,0,0
2026-03-24T12:07:05.348389+00:00,2026-03-24T14:07:05.348393,13.1,9.0,0.255859375,0.21435546875,0.16357421875,0.0,30.73828125,0,0,0,0,0,0,0,0,0
2026-03-24T12:07:11.351924+00:00,2026-03-24T14:07:11.351928,1.5,9.0,0.2353515625,0.21044921875,0.16259765625,0.0,30.73828125,0,0,0,0,0,0,0,0,0
2026-03-24T12:07:17.350993+00:00,2026-03-24T14:07:17.350997,0.6,9.0,0.21630859375,0.20654296875,0.16162109375,0.0,30.73828125,0,0,0,0,0,0,0,0,0
2026-03-24T12:07:23.343692+00:00,2026-03-24T14:07:23.343696,0.4,9.0,0.19873046875,0.20263671875,0.16064453125,0.0,30.73828125,0,0,0,0,0,0,0,0,0
2026-03-24T12:07:29.353039+00:00,2026-03-24T14:07:29.353043,0.4,9.0,0.1826171875,0.19921875,0.15966796875,0.0,30.73828125,0,0,0,0,0,0,0,0,0
2026-03-24T12:07:35.355561+00:00,2026-03-24T14:07:35.355565,0.5,9.0,0.228515625,0.208984375,0.16357421875,0.0,30.73828125,0,0,0,0,0,0,0,0,0
2026-03-24T12:07:41.345059+00:00,2026-03-24T14:07:41.345064,0.5,9.0,0.2099609375,0.205078125,0.16259765625,0.0,30.73828125,0,0,0,0,0,0,0,0,0
2026-03-24T12:07:47.351378+00:00,2026-03-24T14:07:47.351382,0.6,9.0,0.19287109375,0.20166015625,0.16162109375,0.0,30.73828125,0,0,0,0,0,0,0,0,0
2026-03-24T12:07:53.351663+00:00,2026-03-24T14:07:53.351667,0.5,9.0,0.17724609375,0.1982421875,0.16064453125,0.0,30.73828125,0,0,0,0,0,0,0,0,0
2026-03-24T12:07:59.355572+00:00,2026-03-24T14:07:59.355576,1.5,9.0,0.16259765625,0.19482421875,0.15966796875,0.0,30.73828125,0,0,0,0,0,0,0,0,0
2026-03-24T12:08:05.345291+00:00,2026-03-24T14:08:05.345294,0.1,9.0,0.13720703125,0.18798828125,0.15771484375,0.0,30.7421875,0,0,0,0,0,0,0,0,0
2026-03-24T12:08:11.344319+00:00,2026-03-24T14:08:11.344322,0.5,9.0,0.1259765625,0.1845703125,0.15673828125,0.0,30.7421875,0,0,0,0,0,0,0,0,0
2026-03-24T12:08:17.347711+00:00,2026-03-24T14:08:17.347714,0.4,9.0,0.11572265625,0.18115234375,0.15576171875,0.0,30.7421875,0,0,0,0,0,0,0,0,0
2026-03-24T12:08:23.343775+00:00,2026-03-24T14:08:23.343778,0.3,9.0,0.1064453125,0.177734375,0.15478515625,0.0,30.7421875,0,0,0,0,0,0,0,0,0
2026-03-24T12:08:29.344511+00:00,2026-03-24T14:08:29.344515,0.5,9.0,0.09765625,0.17431640625,0.15380859375,0.0,30.7421875,0,0,0,0,0,0,0,0,0
2026-03-24T12:08:35.352922+00:00,2026-03-24T14:08:35.352925,0.3,9.0,0.08203125,0.16845703125,0.15185546875,0.0,30.74609375,0,0,0,0,0,0,0,0,0
2026-03-24T12:08:41.349374+00:00,2026-03-24T14:08:41.349378,0.3,9.1,0.0751953125,0.16552734375,0.15087890625,0.0,30.74609375,0,0,0,0,0,0,0,0,0
2026-03-24T12:08:47.343417+00:00,2026-03-24T14:08:47.343421,0.4,9.1,0.06884765625,0.16259765625,0.14990234375,0.0,30.74609375,0,0,0,0,0,0,0,0,0
2026-03-24T12:08:53.343490+00:00,2026-03-24T14:08:53.343494,0.4,9.0,0.06298828125,0.15966796875,0.14892578125,0.0,30.74609375,0,0,0,0,0,0,0,0,0
2026-03-24T12:08:59.350558+00:00,2026-03-24T14:08:59.350562,1.5,9.0,0.0576171875,0.15673828125,0.14794921875,0.0,30.74609375,0,0,0,0,0,0,0,0,0
2026-03-24T12:09:05.346794+00:00,2026-03-24T14:09:05.346797,0.4,9.1,0.04833984375,0.15087890625,0.14599609375,0.0,30.74609375,0,0,0,0,0,0,0,0,0
