ts_utc,ts_local,cpu_percent_total,mem_percent_total,load1,load5,load15,fail2ban_cpu_percent,fail2ban_rss_mb,ssh_established,ssh_syn_recv,f2b_currently_failed,f2b_total_failed,f2b_currently_banned,f2b_total_banned,f2b_banned_ips_count,f2b_chain_present,f2b_chain_rules
2026-03-24T13:08:05.354192+00:00,2026-03-24T15:08:05.354195,7.7,9.1,0.5888671875,0.3515625,0.220703125,0.0,30.8203125,0,0,0,0,0,0,0,0,0
2026-03-24T13:08:11.348144+00:00,2026-03-24T15:08:11.348147,1.1,9.1,0.498046875,0.33984375,0.2177734375,0.0,30.828125,0,0,0,0,0,0,0,0,0
2026-03-24T13:08:17.348711+00:00,2026-03-24T15:08:17.348715,1.9,9.1,0.4580078125,0.333984375,0.21630859375,0.0,30.828125,0,0,0,0,0,0,0,0,0
2026-03-24T13:08:23.351691+00:00,2026-03-24T15:08:23.351695,2.6,9.1,0.58154296875,0.36181640625,0.22607421875,0.0,30.828125,0,0,0,0,0,0,0,0,0
2026-03-24T13:08:29.349627+00:00,2026-03-24T15:08:29.349631,2.3,9.1,0.53466796875,0.35546875,0.224609375,0.0,30.828125,0,0,0,0,0,0,0,0,0
2026-03-24T13:08:35.343215+00:00,2026-03-24T15:08:35.343219,13.3,9.1,0.49169921875,0.34912109375,0.22314453125,0.0,30.828125,0,0,0,0,0,0,0,0,0
2026-03-24T13:08:41.354846+00:00,2026-03-24T15:08:41.354849,1.1,9.1,0.41552734375,0.33740234375,0.22021484375,0.0,30.828125,0,0,0,0,0,0,0,0,0
2026-03-24T13:08:47.354707+00:00,2026-03-24T15:08:47.354711,0.3,9.1,0.3818359375,0.33154296875,0.21875,0.0,30.828125,0,0,0,0,0,0,0,0,0
2026-03-24T13:08:53.352776+00:00,2026-03-24T15:08:53.352779,0.0,9.1,0.35107421875,0.32568359375,0.21728515625,0.0,30.828125,0,0,0,0,0,0,0,0,0
2026-03-24T13:08:59.351144+00:00,2026-03-24T15:08:59.351147,1.1,9.1,0.32275390625,0.31982421875,0.2158203125,0.0,30.828125,0,0,0,0,0,0,0,0,0
2026-03-24T13:09:05.342475+00:00,2026-03-24T15:09:05.342479,0.0,9.1,0.296875,0.314453125,0.21435546875,0.0,30.828125,0,0,0,0,0,0,0,0,0
2026-03-24T13:09:11.346741+00:00,2026-03-24T15:09:11.346745,0.0,9.1,0.2509765625,0.3037109375,0.21142578125,0.0,30.828125,0,0,0,0,0,0,0,0,0
2026-03-24T13:09:17.350008+00:00,2026-03-24T15:09:17.350011,0.1,9.1,0.23046875,0.29833984375,0.2099609375,0.0,30.828125,0,0,0,0,0,0,0,0,0
2026-03-24T13:09:23.348021+00:00,2026-03-24T15:09:23.348026,0.1,9.1,0.2119140625,0.29296875,0.20849609375,0.0,30.828125,0,0,0,0,0,0,0,0,0
2026-03-24T13:09:29.347144+00:00,2026-03-24T15:09:29.347147,0.0,9.1,0.19482421875,0.2880859375,0.20703125,0.0,30.828125,0,0,0,0,0,0,0,0,0
2026-03-24T13:09:35.348280+00:00,2026-03-24T15:09:35.348285,0.1,9.1,0.17919921875,0.283203125,0.20556640625,0.0,30.83203125,0,0,0,0,0,0,0,0,0
2026-03-24T13:09:41.354294+00:00,2026-03-24T15:09:41.354297,0.0,9.1,0.1513671875,0.2734375,0.20263671875,0.0,30.83203125,0,0,0,0,0,0,0,0,0
2026-03-24T13:09:47.350495+00:00,2026-03-24T15:09:47.350498,0.0,9.1,0.13916015625,0.2685546875,0.201171875,0.0,30.83203125,0,0,0,0,0,0,0,0,0
2026-03-24T13:09:53.357357+00:00,2026-03-24T15:09:53.357360,0.1,9.1,0.1279296875,0.263671875,0.19970703125,0.0,30.83203125,0,0,0,0,0,0,0,0,0
2026-03-24T13:09:59.356736+00:00,2026-03-24T15:09:59.356740,1.3,9.1,0.11767578125,0.25927734375,0.1982421875,0.0,30.8359375,0,0,0,0,0,0,0,0,0
2026-03-24T13:10:05.348465+00:00,2026-03-24T15:10:05.348469,0.0,9.1,0.10791015625,0.2548828125,0.19677734375,0.0,30.8359375,0,0,0,0,0,0,0,0,0
2026-03-24T13:10:11.350249+00:00,2026-03-24T15:10:11.350252,0.1,9.1,0.0908203125,0.24609375,0.19384765625,0.0,30.8359375,0,0,0,0,0,0,0,0,0
2026-03-24T13:10:17.360824+00:00,2026-03-24T15:10:17.360829,3.6,9.1,0.08349609375,0.24169921875,0.1923828125,0.0,30.83984375,0,0,0,0,0,0,0,0,0
2026-03-24T13:10:23.355960+00:00,2026-03-24T15:10:23.355963,0.0,8.7,0.07666015625,0.2373046875,0.19091796875,0.0,30.83984375,0,0,0,0,0,0,0,0,0
2026-03-24T13:10:29.349155+00:00,2026-03-24T15:10:29.349159,0.2,8.7,0.15087890625,0.25,0.1953125,0.0,30.83984375,0,0,0,0,0,0,0,0,0
2026-03-24T13:10:35.351522+00:00,2026-03-24T15:10:35.351526,0.0,8.7,0.138671875,0.24560546875,0.19384765625,0.0,30.83984375,0,0,0,0,0,0,0,0,0
2026-03-24T13:10:41.345857+00:00,2026-03-24T15:10:41.345860,0.1,8.7,0.1171875,0.23681640625,0.19091796875,0.0,30.83984375,0,0,0,0,0,0,0,0,0
2026-03-24T13:10:47.344517+00:00,2026-03-24T15:10:47.344520,0.1,8.7,0.107421875,0.232421875,0.189453125,0.0,30.83984375,0,0,0,0,0,0,0,0,0
2026-03-24T13:10:53.351462+00:00,2026-03-24T15:10:53.351466,0.0,8.7,0.0986328125,0.228515625,0.18798828125,0.0,30.83984375,0,0,0,0,0,0,0,0,0
2026-03-24T13:10:59.350532+00:00,2026-03-24T15:10:59.350536,0.1,8.7,0.09033203125,0.224609375,0.1865234375,0.0,30.84375,0,0,0,0,0,0,0,0,0
2026-03-24T13:11:05.349239+00:00,2026-03-24T15:11:05.349243,0.1,8.7,0.0830078125,0.220703125,0.18505859375,0.0,30.84765625,0,0,0,0,0,0,0,0,0
2026-03-24T13:11:11.346494+00:00,2026-03-24T15:11:11.346497,0.0,8.5,0.06982421875,0.212890625,0.18212890625,0.0,30.84765625,0,0,0,0,0,0,0,0,0
2026-03-24T13:11:17.352215+00:00,2026-03-24T15:11:17.352219,0.0,8.5,0.06396484375,0.208984375,0.1806640625,0.0,30.84765625,0,0,0,0,0,0,0,0,0
2026-03-24T13:11:23.356131+00:00,2026-03-24T15:11:23.356134,0.1,8.5,0.05859375,0.205078125,0.1796875,0.0,30.84765625,0,0,0,0,0,0,0,0,0
