ts_utc,cpu_percent_total,mem_percent_total,load1,load5,load15,net_bytes_recv,net_bytes_sent,net_pkts_recv,net_pkts_sent,ai_server_cpu_percent,ai_server_rss_mb,ai_engine_cpu_percent,ai_engine_rss_mb,ai_stack_cpu_percent,ai_stack_rss_mb,fail2ban_cpu_percent,fail2ban_rss_mb,ai_server_pids,ai_engine_pids,fail2ban_pids
2026-03-24T12:09:25.483250+00:00,0.0,11.9,0.70166015625,0.396484375,0.53857421875,1958293,22225276,18544,13046,0.8,98.50390625,0.0,733.2109375,0.8,831.71484375,0.0,28.7265625,"1809658,1809660,1809661",1809624,1311
2026-03-24T12:09:26.685481+00:00,0.0,11.9,0.64501953125,0.3896484375,0.53564453125,1963146,22308385,18606,13100,0.0,98.50390625,0.0,733.2109375,0.0,831.71484375,0.0,28.7265625,"1809658,1809660,1809661",1809624,1311
2026-03-24T12:09:27.887905+00:00,0.0,11.9,0.64501953125,0.3896484375,0.53564453125,1968344,22464606,18669,13180,0.8,98.5078125,0.0,733.2109375,0.8,831.71875,0.0,28.7265625,"1809658,1809660,1809661",1809624,1311
2026-03-24T12:09:29.090213+00:00,13.7,11.9,0.64501953125,0.3896484375,0.53564453125,1975678,22540275,18731,13235,0.0,98.5078125,0.0,733.2109375,0.0,831.71875,0.0,28.7265625,"1809658,1809660,1809661",1809624,1311
2026-03-24T12:09:30.292310+00:00,0.6,11.9,0.64501953125,0.3896484375,0.53564453125,1979529,22623999,18778,13299,0.8,98.5078125,0.0,733.2109375,0.8,831.71875,0.0,28.7265625,"1809658,1809660,1809661",1809624,1311
2026-03-24T12:09:31.494423+00:00,0.6,11.9,0.59326171875,0.3828125,0.53271484375,1984781,22700548,18822,13353,0.8,98.5078125,0.0,733.2109375,0.8,831.71875,0.0,28.7265625,"1809658,1809660,1809661",1809624,1311
2026-03-24T12:09:32.696741+00:00,1.2,11.9,0.59326171875,0.3828125,0.53271484375,1988482,22783866,18868,13411,0.8,98.5078125,0.0,733.2109375,0.8,831.71875,0.0,28.7265625,"1809658,1809660,1809661",1809624,1311
2026-03-24T12:09:33.899057+00:00,0.6,11.9,0.59326171875,0.3828125,0.53271484375,1995793,22942033,18946,13502,0.0,98.5078125,0.0,733.2109375,0.0,831.71875,0.0,28.7265625,"1809658,1809660,1809661",1809624,1311
2026-03-24T12:09:35.102030+00:00,13.7,11.9,0.59326171875,0.3828125,0.53271484375,2003499,23017903,19003,13561,0.8,98.5078125,0.0,733.2109375,0.8,831.71875,0.0,28.7265625,"1809658,1809660,1809661",1809624,1311
2026-03-24T12:09:36.304402+00:00,0.0,11.9,0.54541015625,0.3759765625,0.52978515625,2011087,23101651,19067,13628,0.0,98.5078125,0.0,733.2109375,0.0,831.71875,0.0,28.7265625,"1809658,1809660,1809661",1809624,1311
